Date,CA,CAQF,CAName,Population,PopulationQF,Dose,DoseQF,NumberVaccinated,NumberVaccinatedQF,PercentCoverage,PercentCoverageQF,CumulativeNumberVaccinated,CumulativeNumberVaccinatedQF,CumulativePercentCoverage,CumulativePercentCoverageQF
20201215,S12000041,"",Angus,97055,"",Dose 1,"",74,"",0.076245428,"",497,"",0.512080779,""
20201215,S12000041,"",Angus,97055,"",Dose 2,"",0,"",0,"",0,"",0,""
20201215,S12000042,"",Dundee City,125276,"",Dose 1,"",170,"",0.135700374,"",1230,"",0.981832115,""
20201215,S12000042,"",Dundee City,125276,"",Dose 2,"",0,"",0,"",0,"",0,""
20201215,S12000045,"",East Dunbartonshire,89242,"",Dose 1,"",159,"",0.178167231,"",556,"",0.623025033,""
20201215,S12000045,"",East Dunbartonshire,89242,"",Dose 2,"",0,"",0,"",0,"",0,""
20201215,S12000047,"",Fife,308998,"",Dose 1,"",573,"",0.185438093,"",2377,"",0.769260642,""
20201215,S12000047,"",Fife,308998,"",Dose 2,"",0,"",0,"",0,"",0,""
20201215,S12000048,"",Perth and Kinross,127529,"",Dose 1,"",128,"",0.100369328,"",737,"",0.57790777,""
20201215,S12000048,"",Perth and Kinross,127529,"",Dose 2,"",0,"",0,"",0,"",0,""
20201215,S12000049,"",Glasgow City,532454,"",Dose 1,"",626,"",0.117568842,"",2438,"",0.45787993,""
20201215,S12000049,"",Glasgow City,532454,"",Dose 2,"",0,"",0,"",0,"",0,""
20201215,S12000050,"",North Lanarkshire,278534,"",Dose 1,"",472,"",0.169458666,"",1587,"",0.569768861,""
20201215,S12000050,"",North Lanarkshire,278534,"",Dose 2,"",0,"",0,"",0,"",0,""
20201216,"",:,Unknown,"",z,Dose 1,"",19,"","",z,86,"","",z
20201216,"",:,Unknown,"",z,Dose 2,"",0,"","",z,0,"","",z
20201216,S12000005,"",Clackmannanshire,42594,"",Dose 1,"",56,"",0.131473917,"",703,"",1.650467202,""
20201216,S12000005,"",Clackmannanshire,42594,"",Dose 2,"",0,"",0,"",0,"",0,""
20201216,S12000006,"",Dumfries and Galloway,125617,"",Dose 1,"",346,"",0.275440426,"",1038,"",0.826321278,""
20201216,S12000006,"",Dumfries and Galloway,125617,"",Dose 2,"",0,"",0,"",0,"",0,""
20201216,S12000008,"",East Ayrshire,100957,"",Dose 1,"",164,"",0.162445398,"",961,"",0.951890409,""
